Text,label
I started university to study biology. I’ve been dealing with a serious illness.,"1,3"
I began my undergraduate studies recently. I’ve been dealing with a serious illness.,"1,3"
My health took a turn and I needed care.,3
I began my undergraduate studies recently. I landed a job at a software company. I’ve been dealing with a serious illness.,"1,2,3"
I'm now attending a university full-time. I just started working in tech. I'm recovering from a medical procedure.,"1,2,3"
I'm now attending a university full-time.,1
I started university to study biology. I’ve begun my new role at a startup. I had surgery to fix my heart condition.,"1,2,3"
I started university to study biology. I landed a job at a software company. I visited the hospital for treatment.,"1,2,3"
I’ve been dealing with a serious illness.,3
I recently got hired by a great company. I'm recovering from a medical procedure.,"2,3"
I began my undergraduate studies recently. I’ve been dealing with a serious illness.,"1,3"
I began my undergraduate studies recently. I'm now employed full-time as a developer. I'm recovering from a medical procedure.,"1,2,3"
I'm now attending a university full-time. I recently got hired by a great company.,"1,2"
I'm now employed full-time as a developer.,2
I'm now attending a university full-time. I'm now employed full-time as a developer. I had surgery to fix my heart condition.,"1,2,3"
I’ve begun my new role at a startup.,2
I started university to study biology. I landed a job at a software company.,"1,2"
I visited the hospital for treatment.,3
I'm now attending a university full-time.,1
I’ve been dealing with a serious illness.,3
I visited the hospital for treatment.,3
I enrolled in college to pursue my degree. I’ve begun my new role at a startup.,"1,2"
I enrolled in college to pursue my degree. I landed a job at a software company.,"1,2"
I landed a job at a software company. My health took a turn and I needed care.,"2,3"
I signed up for classes at the local college. I landed a job at a software company. I had surgery to fix my heart condition.,"1,2,3"
I’ve been dealing with a serious illness.,3
I signed up for classes at the local college. I'm recovering from a medical procedure.,"1,3"
I'm now attending a university full-time. I just started working in tech.,"1,2"
I'm now attending a university full-time.,1
I started university to study biology. I just started working in tech. I’ve been dealing with a serious illness.,"1,2,3"
